Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Nov 10 2015,7:30 pm,New York Knicks,111,Toronto Raptors,109,Box Score,,
Tue Nov 10 2015,7:00 pm,Oklahoma City Thunder,125,Washington Wizards,101,Box Score,,
Wed Nov 11 2015,8:00 pm,New Orleans Pelicans,98,Atlanta Hawks,106,Box Score,,
Wed Nov 11 2015,7:30 pm,Indiana Pacers,102,Boston Celtics,91,Box Score,,
Wed Nov 11 2015,7:00 pm,New York Knicks,93,Charlotte Hornets,95,Box Score,,
Wed Nov 11 2015,8:00 pm,Los Angeles Clippers,108,Dallas Mavericks,118,Box Score,,
Wed Nov 11 2015,9:00 pm,Milwaukee Bucks,102,Denver Nuggets,103,Box Score,,
Wed Nov 11 2015,8:00 pm,Brooklyn Nets,106,Houston Rockets,98,Box Score,,
Wed Nov 11 2015,8:00 pm,Golden State Warriors,100,Memphis Grizzlies,84,Box Score,,
Wed Nov 11 2015,7:00 pm,Los Angeles Lakers,99,Orlando Magic,101,Box Score,,
Wed Nov 11 2015,7:00 pm,Toronto Raptors,119,Philadelphia 76ers,103,Box Score,,
Wed Nov 11 2015,10:30 pm,San Antonio Spurs,113,Portland Trail Blazers,101,Box Score,,
Wed Nov 11 2015,10:00 pm,Detroit Pistons,92,Sacramento Kings,101,Box Score,,
Thu Nov 12 2015,7:30 pm,Utah Jazz,91,Miami Heat,92,Box Score,,
Thu Nov 12 2015,8:00 pm,Golden State Warriors,129,Minnesota Timberwolves,116,Box Score,,
Thu Nov 12 2015,10:30 pm,Los Angeles Clippers,104,Phoenix Suns,118,Box Score,,
Fri Nov 13 2015,7:30 pm,Atlanta Hawks,93,Boston Celtics,106,Box Score,,
Fri Nov 13 2015,8:00 pm,Charlotte Hornets,97,Chicago Bulls,102,Box Score,,
Fri Nov 13 2015,8:30 pm,Los Angeles Lakers,82,Dallas Mavericks,90,Box Score,,
Fri Nov 13 2015,9:00 pm,Houston Rockets,98,Denver Nuggets,107,Box Score,,
Fri Nov 13 2015,7:00 pm,Minnesota Timberwolves,103,Indiana Pacers,107,Box Score,,
Fri Nov 13 2015,8:00 pm,Portland Trail Blazers,100,Memphis Grizzlies,101,Box Score,,
Fri Nov 13 2015,7:30 pm,Cleveland Cavaliers,90,New York Knicks,84,Box Score,,
Fri Nov 13 2015,8:00 pm,Philadelphia 76ers,85,Oklahoma City Thunder,102,Box Score,,
Fri Nov 13 2015,7:00 pm,Utah Jazz,93,Orlando Magic,102,Box Score,,
Fri Nov 13 2015,10:00 pm,Brooklyn Nets,109,Sacramento Kings,111,Box Score,,
Fri Nov 13 2015,7:30 pm,New Orleans Pelicans,81,Toronto Raptors,100,Box Score,,
Sat Nov 14 2015,10:30 pm,Brooklyn Nets,99,Golden State Warriors,107,Box Score,OT,
Sat Nov 14 2015,8:00 pm,Dallas Mavericks,110,Houston Rockets,98,Box Score,,
Sat Nov 14 2015,3:30 pm,Detroit Pistons,96,Los Angeles Clippers,101,Box Score,,
Sat Nov 14 2015,8:30 pm,Cleveland Cavaliers,105,Milwaukee Bucks,108,Box Score,2OT,
Sat Nov 14 2015,9:00 pm,Denver Nuggets,81,Phoenix Suns,105,Box Score,,
Sat Nov 14 2015,8:30 pm,Philadelphia 76ers,83,San Antonio Spurs,92,Box Score,,
Sat Nov 14 2015,7:00 pm,Orlando Magic,99,Washington Wizards,108,Box Score,,
Sun Nov 15 2015,6:00 pm,Utah Jazz,97,Atlanta Hawks,96,Box Score,,
Sun Nov 15 2015,5:00 pm,Portland Trail Blazers,94,Charlotte Hornets,106,Box Score,,
Sun Nov 15 2015,9:30 pm,Detroit Pistons,85,Los Angeles Lakers,97,Box Score,,
Sun Nov 15 2015,3:30 pm,Memphis Grizzlies,114,Minnesota Timberwolves,106,Box Score,,
Sun Nov 15 2015,12:00 pm,New Orleans Pelicans,87,New York Knicks,95,Box Score,,
Sun Nov 15 2015,7:00 pm,Boston Celtics,100,Oklahoma City Thunder,85,Box Score,,
Sun Nov 15 2015,9:00 pm,Toronto Raptors,101,Sacramento Kings,107,Box Score,,
Mon Nov 16 2015,8:00 pm,Indiana Pacers,95,Chicago Bulls,96,Box Score,,
Mon Nov 16 2015,8:00 pm,Boston Celtics,111,Houston Rockets,95,Box Score,,
Mon Nov 16 2015,8:00 pm,Oklahoma City Thunder,114,Memphis Grizzlies,122,Box Score,,
Mon Nov 16 2015,7:00 pm,Dallas Mavericks,92,Philadelphia 76ers,86,Box Score,,
Mon Nov 16 2015,9:00 pm,Los Angeles Lakers,101,Phoenix Suns,120,Box Score,,
Mon Nov 16 2015,8:30 pm,Portland Trail Blazers,80,San Antonio Spurs,93,Box Score,,
Tue Nov 17 2015,7:30 pm,Atlanta Hawks,88,Brooklyn Nets,90,Box Score,,
Tue Nov 17 2015,7:30 pm,Cleveland Cavaliers,99,Detroit Pistons,104,Box Score,,
Tue Nov 17 2015,10:30 pm,Toronto Raptors,110,Golden State Warriors,115,Box Score,,
Tue Nov 17 2015,7:30 pm,Minnesota Timberwolves,103,Miami Heat,91,Box Score,,
Tue Nov 17 2015,8:00 pm,Denver Nuggets,115,New Orleans Pelicans,98,Box Score,,
Tue Nov 17 2015,7:30 pm,Charlotte Hornets,94,New York Knicks,102,Box Score,,
Tue Nov 17 2015,7:00 pm,Milwaukee Bucks,86,Washington Wizards,115,Box Score,,
Wed Nov 18 2015,8:00 pm,Sacramento Kings,97,Atlanta Hawks,103,Box Score,,
Wed Nov 18 2015,7:30 pm,Dallas Mavericks,106,Boston Celtics,102,Box Score,,
Wed Nov 18 2015,7:00 pm,Brooklyn Nets,111,Charlotte Hornets,116,Box Score,,
Wed Nov 18 2015,8:00 pm,Portland Trail Blazers,103,Houston Rockets,108,Box Score,OT,
Wed Nov 18 2015,8:00 pm,New Orleans Pelicans,103,Oklahoma City Thunder,110,Box Score,,
Wed Nov 18 2015,7:00 pm,Minnesota Timberwolves,101,Orlando Magic,104,Box Score,OT,
Wed Nov 18 2015,7:00 pm,Indiana Pacers,112,Philadelphia 76ers,85,Box Score,,
Wed Nov 18 2015,10:30 pm,Chicago Bulls,103,Phoenix Suns,97,Box Score,,
Wed Nov 18 2015,8:30 pm,Denver Nuggets,98,San Antonio Spurs,109,Box Score,,
Wed Nov 18 2015,9:00 pm,Toronto Raptors,89,Utah Jazz,93,Box Score,,
Thu Nov 19 2015,8:00 pm,Milwaukee Bucks,100,Cleveland Cavaliers,115,Box Score,,
Thu Nov 19 2015,10:30 pm,Golden State Warriors,124,Los Angeles Clippers,117,Box Score,,
Thu Nov 19 2015,7:30 pm,Sacramento Kings,109,Miami Heat,116,Box Score,,
Fri Nov 20 2015,7:30 pm,Brooklyn Nets,95,Boston Celtics,120,Box Score,,
Fri Nov 20 2015,7:00 pm,Philadelphia 76ers,88,Charlotte Hornets,113,Box Score,,
Fri Nov 20 2015,8:30 pm,Utah Jazz,93,Dallas Mavericks,102,Box Score,,
Fri Nov 20 2015,9:00 pm,Phoenix Suns,114,Denver Nuggets,107,Box Score,,
Fri Nov 20 2015,10:30 pm,Chicago Bulls,94,Golden State Warriors,106,Box Score,,
Fri Nov 20 2015,10:30 pm,Toronto Raptors,102,Los Angeles Lakers,91,Box Score,,
Fri Nov 20 2015,8:00 pm,Houston Rockets,84,Memphis Grizzlies,96,Box Score,,
Fri Nov 20 2015,8:00 pm,Detroit Pistons,96,Minnesota Timberwolves,86,Box Score,,
Fri Nov 20 2015,8:00 pm,San Antonio Spurs,90,New Orleans Pelicans,104,Box Score,,
Fri Nov 20 2015,8:00 pm,New York Knicks,93,Oklahoma City Thunder,90,Box Score,,
Fri Nov 20 2015,10:00 pm,Los Angeles Clippers,91,Portland Trail Blazers,102,Box Score,,
Sat Nov 21 2015,7:30 pm,Atlanta Hawks,97,Cleveland Cavaliers,109,Box Score,,
Sat Nov 21 2015,7:30 pm,Washington Wizards,97,Detroit Pistons,95,Box Score,,
Sat Nov 21 2015,8:00 pm,New York Knicks,107,Houston Rockets,102,Box Score,,
Sat Nov 21 2015,7:00 pm,Milwaukee Bucks,86,Indiana Pacers,123,Box Score,,
Sat Nov 21 2015,8:00 pm,Philadelphia 76ers,91,Miami Heat,96,Box Score,,
Sat Nov 21 2015,5:00 pm,Sacramento Kings,97,Orlando Magic,91,Box Score,,
Sat Nov 21 2015,8:30 pm,Memphis Grizzlies,82,San Antonio Spurs,92,Box Score,,
Sun Nov 22 2015,6:00 pm,Boston Celtics,101,Brooklyn Nets,111,Box Score,,
Sun Nov 22 2015,8:00 pm,Golden State Warriors,118,Denver Nuggets,105,Box Score,,
Sun Nov 22 2015,3:30 pm,Toronto Raptors,91,Los Angeles Clippers,80,Box Score,,
Sun Nov 22 2015,9:30 pm,Portland Trail Blazers,107,Los Angeles Lakers,93,Box Score,,
Sun Nov 22 2015,6:00 pm,Phoenix Suns,116,New Orleans Pelicans,122,Box Score,,
Sun Nov 22 2015,7:00 pm,Dallas Mavericks,114,Oklahoma City Thunder,117,Box Score,,
Mon Nov 23 2015,7:00 pm,Sacramento Kings,122,Charlotte Hornets,127,Box Score,OT,
Mon Nov 23 2015,7:00 pm,Orlando Magic,103,Cleveland Cavaliers,117,Box Score,,
Mon Nov 23 2015,7:30 pm,New York Knicks,78,Miami Heat,95,Box Score,,
Mon Nov 23 2015,8:00 pm,Detroit Pistons,88,Milwaukee Bucks,109,Box Score,,
Mon Nov 23 2015,8:00 pm,Philadelphia 76ers,95,Minnesota Timberwolves,100,Box Score,,
Mon Nov 23 2015,8:30 pm,Phoenix Suns,84,San Antonio Spurs,98,Box Score,,
Mon Nov 23 2015,9:00 pm,Oklahoma City Thunder,111,Utah Jazz,89,Box Score,,
Tue Nov 24 2015,8:00 pm,Boston Celtics,97,Atlanta Hawks,121,Box Score,,
Tue Nov 24 2015,9:00 pm,Los Angeles Clippers,111,Denver Nuggets,94,Box Score,,
Tue Nov 24 2015,10:30 pm,Los Angeles Lakers,77,Golden State Warriors,111,Box Score,,
